tag,line,line_type,quire,page,folio,bifolio,section,language,writing_hand,currier_hand,annotations,paragraph,order0,K_topic,topic_id
f32v,1.0,1,D,P,z,1,Herbal,A,1,1,Colour annotation,kcheodaiin chol kechy qotaiin daiioamo chofchody odar chy chey tchy dydain teor shor chckhy dsho dain sshokey ka or chr chor dor chaiin qotcho chydcho chokchy shy chor qo kaiin daindchol dosg kchan chol shal dchcthy,123,6:5,5
f32v,7.0,1,D,P,z,1,Herbal,A,1,1,Colour annotation,ksho cphos she sheaiin otshcho dainshckhy odan otchol ctho qotaiinotchy dshan qotchy cfhy skey chocthy cthaiindaiin sho keol chor chol cpho cthol daar ol sho chy,124,6:5,5
f33r,1.0,1,E,A,a,1,Herbal,B,2,2,Colour annotation,tshdar shdor shepchdy cphody yfoldy qofoikhdy otchedy lfchdy ytchedy qokar okaldy qokaldy oldar qotar otar otardam laiin qokedy shedy chdal chechdaiin qokchy ody chekeedy ykam taiin chekey or al aiiin saiin okaiin cheedy chkeey far aiin pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar otam yteey shody kchedy dy chekar okaiin okaiin okal chos aiin or aiin cheekaiin okain ar okeeey,125,6:3,3
f33v,1.0,1,E,B,a,1,Herbal,B,2,2,Colour annotation,tar ar daiinydain cthey dolssheky ar aiin cs kchdy dam dyokyotal dain chdyytam otam cham chckhy dydykyckhdy oky damokar dy kam dy tokar shdy dalqokar shdotody chedyykedy dodl dain tchdy chody okaiinchckhy dor arlcthy dy ty dyykar dy ycheo olaiin okar chdy chdy oldyokar chdy,126,6:3,3
f33v,7.0,1,E,B,a,1,Herbal,B,2,2,Colour annotation,tshdy shefchdy shckhdy oltedy okycheol orainchdyshdy porar ar sheey keedy okchy okar okedy chydaiin dy' dydar aiin okary or aiin chor or shkair shol or chckhyar aiinokain dy lcho ar or chey lodaiin or okeedy okaly tar al oram,127,6:3,3
f34r,1.0,1,E,C,b,2,Herbal,B,2,2,Colour annotation,pcheoepchy olar ylyfody okedody shod ololdy ytey ytar sheody lamocthedy otedy chdain oltey kchy ty qotedy chyty chdalydar chd otedy qotol okedy dody ody kam ytedy chey aiinshy chckhyoltchedy otedy dam checthy qoteedy shedy shedy olokes arykeed chedy otey okaiin chekey chetey ollchesydaiin fas aiir amg qokedy chdyolchyykchyykedy qokchdy as oldam ch'otchy qokyolkcheckhyys air air chodar tam ykchdy qodarchctaikhyor lchey todaly okaiin dardy,128,6:3,3
f34r,10.0,1,E,C,b,2,Herbal,B,2,2,Colour annotation,tcheo olchckhy olyotchdy chefalchhs qokeey sh kaldaiincheky cthdalyotchedy chty aiin char aiin okor ar tolqokar chckhy chdal ked qokar ar dam ykeo lor ochey olyokaly kechdy qokchdy chor ar aiiin daly or ar kar ol al okychody qokal chedy chcthedy daram sair chekar shekcholchedy qokedy yk cheolchcthy,129,6:3,3
f34v,1.0,1,E,D,b,2,Herbal,B,2,2,Colour annotation,ke'chdy chdy chefchy shdy qopchdy shdydy chdalchdy ypchdy chcthdy spaiin tol qokchy dychedy okchy chckhdy chdaiin ckhy loees ykar aiin oldam ytal shor chdal olchdy char or ol kedaiiin chcthy okchdy chckhy dasam tchdaiin chekal shedy qokedar chdaiin oldar qoldar chedy otam lshaiir or air shedy chechey dykey kair chedy qokar chekaly chalky,130,6:3,3
f34v,6.0,1,E,D,b,2,Herbal,B,2,2,Colour annotation,pchedar shear qokchdy qokees cheol ypchdaiin chedy lr ar chedain olchdaiin chedy chey keedy chy kedy dy qokedy air chkain otain ysheos otar ar choraiin olchdaiin or oldar chdar okam lsheody cphy qokeey keedy kchdy chedy qokedy chdy kal shs oldaiin chdy tedy kchdy okeedy checkhy chdy kain chear or okedy okam yshos ody aiin okal shedy,131,6:3,3
f35r,1.0,1,E,E,c,3,Herbal,A,1,1,Colour annotation,choo choly chy choty char dy qokeeaiin chokaiin qo tchy dchaiin cthey qotchey taiin cthory qotchy shet chy ckhol cheey dainl otchor sho tcheey scheey dain or schaiin char chan shosaiin tchor choky qokeey ky kaiin,132,6:5,5
f35r,9.0,1,E,E,c,3,Herbal,A,1,1,Colour annotation,paiin chear aiin chear shorchaiin aiin chaiin ckhy chl chochy shoheaiin chol cthaiin chaiin lchal daldair aldy olor chy chaiin chy taiin kchey koldychetchaiin qokoiin chaiin qokchaiin lshy lodalyoteey taiin cthol chol aiin qotchy otchor daiinshol qotaiin ochor chiin ytain,133,6:5,5
